username,password
100,5404000000000001,9668475942450001,M
100,4111111111111111,9668475942450012,V
100,5105105105105100,9668475942450013,M
100,5555555555554444,9668475942450014,M
100,2223000048400011,9668475942450015,M
100,2720990048400011,9668475942450715,M
100,378282246310005,9668475942450016,A
100,38520000023237,9668475942450017,D
101,,9668475942450002,
102,5404000555000001,,M
103,3569990000000009,,M
104,4917300000000008,,V
105,5404000000000043,,M
106a,5404000000000084,9668475942450003,M
106b,5404000000000284,9668475942450023,M
200,5404000000000068,9668475942450004,M
201,5404000000001168,9668475942451104,M
null,4000000000000002,9668475942450005,V
x1,4000000000003001,9668475942453001,V

